Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
376.0,436.0,632.0,1721.0,1785.0,809.0,4839.0,1566.0,1926.0,795.0,907.0,30871.0,834.0,1469.0,523.0,503.0,177.0,1351.0,266.0,812.0,619.0,1257.0,360.0,453.0,336.0,365.0,1899.0,866.0,740.0,584.0,854.0,811.0
669.0,827.0,1255.0,3417.0,3263.0,1557.0,10592.0,3169.0,3592.0,1727.0,1651.0,59598.0,1482.0,2675.0,1036.0,905.0,272.0,2545.0,446.0,1469.0,1159.0,2253.0,664.0,887.0,561.0,737.0,3650.0,1709.0,1349.0,1077.0,1595.0,1408.0
329.0,398.0,606.0,1730.0,1559.0,736.0,5455.0,1661.0,1774.0,872.0,752.0,29364.0,732.0,1335.0,510.0,434.0,125.0,1190.0,207.0,732.0,515.0,1083.0,288.0,450.0,276.0,364.0,1795.0,867.0,638.0,510.0,758.0,683.0
340.0,429.0,649.0,1687.0,1704.0,821.0,5137.0,1508.0,1818.0,855.0,899.0,30234.0,750.0,1340.0,526.0,471.0,147.0,1355.0,239.0,737.0,644.0,1170.0,376.0,437.0,285.0,373.0,1855.0,842.0,711.0,567.0,837.0,725.0
625.0,841.0,1258.0,3512.0,3092.0,1476.0,11301.0,3110.0,3627.0,1651.0,1620.0,59263.0,1480.0,2651.0,1002.0,851.0,286.0,2626.0,441.0,1415.0,1136.0,2042.0,598.0,854.0,612.0,710.0,3634.0,1622.0,1267.0,1041.0,1537.0,1345.0
295.0,403.0,631.0,1733.0,1502.0,719.0,5667.0,1578.0,1796.0,863.0,818.0,29294.0,725.0,1307.0,463.0,414.0,144.0,1280.0,231.0,665.0,538.0,969.0,282.0,430.0,300.0,351.0,1873.0,778.0,613.0,524.0,744.0,658.0
330.0,438.0,627.0,1779.0,1590.0,757.0,5634.0,1532.0,1831.0,788.0,802.0,29969.0,755.0,1344.0,539.0,437.0,142.0,1346.0,210.0,750.0,598.0,1073.0,316.0,424.0,312.0,359.0,1761.0,844.0,654.0,517.0,793.0,687.0
663.0,777.0,1179.0,3390.0,3074.0,1507.0,11664.0,3065.0,3581.0,1522.0,1549.0,58240.0,1368.0,2443.0,966.0,892.0,282.0,2557.0,487.0,1339.0,1128.0,2007.0,615.0,790.0,580.0,629.0,3394.0,1530.0,1264.0,1038.0,1580.0,1380.0
333.0,375.0,593.0,1633.0,1562.0,735.0,5932.0,1528.0,1740.0,751.0,707.0,28864.0,657.0,1208.0,494.0,433.0,126.0,1293.0,237.0,663.0,549.0,999.0,291.0,381.0,264.0,313.0,1681.0,762.0,623.0,511.0,777.0,713.0
330.0,402.0,586.0,1757.0,1512.0,772.0,5732.0,1537.0,1841.0,771.0,842.0,29376.0,711.0,1235.0,472.0,459.0,156.0,1264.0,250.0,676.0,579.0,1008.0,324.0,409.0,316.0,316.0,1713.0,768.0,641.0,527.0,803.0,667.0
658.0,750.0,1180.0,3461.0,3045.0,1442.0,11941.0,2989.0,3641.0,1435.0,1405.0,58690.0,1411.0,2585.0,972.0,897.0,275.0,2467.0,462.0,1462.0,1115.0,2037.0,639.0,822.0,568.0,631.0,3538.0,1547.0,1304.0,1029.0,1582.0,1400.0
309.0,370.0,587.0,1759.0,1519.0,747.0,5976.0,1518.0,1832.0,705.0,733.0,29528.0,698.0,1291.0,502.0,415.0,138.0,1238.0,232.0,765.0,559.0,1045.0,287.0,405.0,293.0,294.0,1793.0,772.0,665.0,524.0,839.0,718.0
349.0,380.0,593.0,1702.0,1526.0,695.0,5965.0,1471.0,1809.0,730.0,672.0,29162.0,713.0,1294.0,470.0,482.0,137.0,1229.0,230.0,697.0,556.0,992.0,352.0,417.0,275.0,337.0,1745.0,775.0,639.0,505.0,743.0,682.0
633.0,752.0,1187.0,3461.0,3066.0,1475.0,12020.0,2869.0,3597.0,1458.0,1554.0,58690.0,1345.0,2558.0,1016.0,871.0,291.0,2373.0,442.0,1498.0,1180.0,2096.0,588.0,829.0,580.0,615.0,3546.0,1576.0,1262.0,972.0,1537.0,1443.0
329.0,363.0,607.0,1749.0,1552.0,761.0,6089.0,1457.0,1825.0,754.0,770.0,29788.0,679.0,1332.0,536.0,430.0,148.0,1220.0,218.0,759.0,582.0,1075.0,279.0,425.0,283.0,305.0,1805.0,767.0,655.0,501.0,797.0,736.0
304.0,389.0,580.0,1712.0,1514.0,714.0,5931.0,1412.0,1772.0,704.0,784.0,28902.0,666.0,1226.0,480.0,441.0,143.0,1153.0,224.0,739.0,598.0,1021.0,309.0,404.0,297.0,310.0,1741.0,809.0,607.0,471.0,740.0,707.0
713.0,791.0,1188.0,3467.0,3242.0,1536.0,12132.0,2897.0,3797.0,1468.0,1712.0,60925.0,1443.0,2715.0,1089.0,901.0,301.0,2490.0,461.0,1505.0,1257.0,2169.0,674.0,842.0,629.0,707.0,3636.0,1620.0,1320.0,1095.0,1629.0,1499.0
360.0,401.0,583.0,1750.0,1639.0,782.0,6030.0,1466.0,1973.0,731.0,865.0,30936.0,737.0,1386.0,559.0,453.0,145.0,1260.0,256.0,797.0,658.0,1078.0,344.0,431.0,315.0,380.0,1850.0,797.0,698.0,540.0,869.0,803.0
