CensusYear,Sex,Single Year of Age,Administrative Counties,VALUE
2022,Male,12,Limerick City & County Council,1521
2022,Male,12,Tipperary County Council,1346
2022,Male,12,Waterford City & County Council,984
2022,Male,12,Galway City Council,443
2022,Male,12,Galway County Council,1530
2022,Male,12,Leitrim County Council,256
2022,Male,12,Mayo  County Council,1000
2022,Male,12,Roscommon County Council,508
2022,Male,12,Sligo County Council,521
2022,Male,12,Cavan County Council,645
2022,Male,12,Donegal County Council,1332
2022,Male,12,Monaghan County Council,532
2022,Male,13,Carlow County Council,484
2022,Male,13,Dublin City Council,3064
2022,Male,13,Dún Laoghaire Rathdown County Council,1544
2022,Male,13,Fingal County Council,2830
2022,Male,13,South Dublin County Council,2373
2022,Male,13,Kildare County Council,2058
2022,Male,13,Kilkenny County Council,843
2022,Male,13,Laois County Council,788
2022,Male,13,Longford County Council,385
2022,Male,13,Louth County Council,1190
2022,Male,13,Meath County Council,1897
2022,Male,13,Offaly County Council,694
2022,Male,13,Westmeath County Council,743
2022,Male,13,Wexford County Council,1338
2022,Male,13,Wicklow County Council,1294
2022,Male,13,Clare County Council,960
2022,Male,13,Cork City Council,1292
2022,Male,13,Cork County Council,2936
2022,Male,13,Kerry County Council,1107
2022,Male,13,Limerick City & County Council,1516
2022,Male,13,Tipperary County Council,1256
2022,Male,13,Waterford City & County Council,942
2022,Male,13,Galway City Council,511
2022,Male,13,Galway County Council,1568
2022,Male,13,Leitrim County Council,259
2022,Male,13,Mayo  County Council,969
2022,Male,13,Roscommon County Council,549
2022,Male,13,Sligo County Council,480
2022,Male,13,Cavan County Council,709
2022,Male,13,Donegal County Council,1377
2022,Male,13,Monaghan County Council,518
2022,Male,14,Carlow County Council,486
2022,Male,14,Dublin City Council,2806
2022,Male,14,Dún Laoghaire Rathdown County Council,1453
2022,Male,14,Fingal County Council,2714
2022,Male,14,South Dublin County Council,2359
2022,Male,14,Kildare County Council,2037
2022,Male,14,Kilkenny County Council,855
2022,Male,14,Laois County Council,790
2022,Male,14,Longford County Council,372
2022,Male,14,Louth County Council,1089
2022,Male,14,Meath County Council,1841
2022,Male,14,Offaly County Council,687
2022,Male,14,Westmeath County Council,733
2022,Male,14,Wexford County Council,1213
2022,Male,14,Wicklow County Council,1246
2022,Male,14,Clare County Council,954
2022,Male,14,Cork City Council,1271
2022,Male,14,Cork County Council,2855
2022,Male,14,Kerry County Council,1102
2022,Male,14,Limerick City & County Council,1453
2022,Male,14,Tipperary County Council,1263
2022,Male,14,Waterford City & County Council,960
2022,Male,14,Galway City Council,456
2022,Male,14,Galway County Council,1538
2022,Male,14,Leitrim County Council,265
2022,Male,14,Mayo  County Council,974
2022,Male,14,Roscommon County Council,523
2022,Male,14,Sligo County Council,525
2022,Male,14,Cavan County Council,641
2022,Male,14,Donegal County Council,1329
2022,Male,14,Monaghan County Council,562
2022,Male,15,Carlow County Council,432
2022,Male,15,Dublin City Council,2713
2022,Male,15,Dún Laoghaire Rathdown County Council,1392
2022,Male,15,Fingal County Council,2528
2022,Male,15,South Dublin County Council,2147
2022,Male,15,Kildare County Council,1933
2022,Male,15,Kilkenny County Council,828
2022,Male,15,Laois County Council,747
2022,Male,15,Longford County Council,384
2022,Male,15,Louth County Council,1110
2022,Male,15,Meath County Council,1771
2022,Male,15,Offaly County Council,655
2022,Male,15,Westmeath County Council,703
2022,Male,15,Wexford County Council,1191
2022,Male,15,Wicklow County Council,1195
2022,Male,15,Clare County Council,981
2022,Male,15,Cork City Council,1323
2022,Male,15,Cork County Council,2795
2022,Male,15,Kerry County Council,1092
2022,Male,15,Limerick City & County Council,1409
2022,Male,15,Tipperary County Council,1250
2022,Male,15,Waterford City & County Council,954
2022,Male,15,Galway City Council,444
2022,Male,15,Galway County Council,1381
2022,Male,15,Leitrim County Council,265
2022,Male,15,Mayo  County Council,929
2022,Male,15,Roscommon County Council,511
2022,Male,15,Sligo County Council,512
2022,Male,15,Cavan County Council,628
2022,Male,15,Donegal County Council,1271
2022,Male,15,Monaghan County Council,474
2022,Male,16,Carlow County Council,431
2022,Male,16,Dublin City Council,2750
2022,Male,16,Dún Laoghaire Rathdown County Council,1381
2022,Male,16,Fingal County Council,2293
2022,Male,16,South Dublin County Council,2104
2022,Male,16,Kildare County Council,1803
2022,Male,16,Kilkenny County Council,783
2022,Male,16,Laois County Council,680
2022,Male,16,Longford County Council,340
2022,Male,16,Louth County Council,1052
2022,Male,16,Meath County Council,1705
2022,Male,16,Offaly County Council,600
2022,Male,16,Westmeath County Council,713
2022,Male,16,Wexford County Council,1197
2022,Male,16,Wicklow County Council,1077
2022,Male,16,Clare County Council,903
2022,Male,16,Cork City Council,1219
2022,Male,16,Cork County Council,2609
2022,Male,16,Kerry County Council,988
2022,Male,16,Limerick City & County Council,1436
2022,Male,16,Tipperary County Council,1160
2022,Male,16,Waterford City & County Council,945
2022,Male,16,Galway City Council,419
2022,Male,16,Galway County Council,1519
2022,Male,16,Leitrim County Council,265
2022,Male,16,Mayo  County Council,945
2022,Male,16,Roscommon County Council,503
2022,Male,16,Sligo County Council,461
2022,Male,16,Cavan County Council,611
2022,Male,16,Donegal County Council,1292
2022,Male,16,Monaghan County Council,462
2022,Male,17,Carlow County Council,463
2022,Male,17,Dublin City Council,2906
2022,Male,17,Dún Laoghaire Rathdown County Council,1374
2022,Male,17,Fingal County Council,2371
2022,Male,17,South Dublin County Council,2078
2022,Male,17,Kildare County Council,1884
2022,Male,17,Kilkenny County Council,726
